name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Best Western Plus Hotel Alfa Aeropuerto - HB-003859,C K Zona Franca,2,la Marina del Prat Vermell,Sants-Montjuïc,933362564,425783.6857818414,4575604.465157515
Hotel Turín - HB-002532,C Pintor Fortuny,9,el Raval,Ciutat Vella,933024812,430616.1014749212,4581618.515437034
Gallery Hotel - HB-003915,C Rosselló,249,la Dreta de l'Eixample,Eixample,934159911,429722.17988837167,4582945.277306637
Hotel-Apartament República - HB-004493,C Pujades,120,el Poblenou,Sant Martí,934864390,432778.214131114,4583240.039052524
Hotel NH Les Corts - HB-003666,Trav Corts,292,les Corts,Les Corts,933220811,427805.680685848,4582137.812780968
Hotel Onix Liceo - HB-004333,C Nou de la Rambla,36,el Raval,Ciutat Vella,934816441,430853.9452781591,4581056.44997168
Hotel  Negresco Princess - HB-004699,C Roger de Llúria,16,la Dreta de l'Eixample,Eixample,932150052,430830.2332260547,4582431.360548998
Hotel Boutique H10 Catalunya Plaza - HB-003965,Pl Catalunya,7,la Dreta de l'Eixample,Eixample,933177171,430486.6446434794,4582054.1351593295
Hotel Coronado - HB-003443,C Nou de la Rambla,134,el Poble-sec,Sants-Montjuïc,934423448,430443.8093726631,4580541.230917041
Hotel Guitart Grand Passage - HB-003896,C Muntaner,212,l'Antiga Esquerra de l'Eixample,Eixample,932010306,428972.22520632227,4582803.1845361395
Aparthotel Atenea Barcelona - HB-003991,C Joan Güell,207,les Corts,Les Corts,934906640,427218.99341767526,4582003.199968725
Hotel Denit - HB-004393,C Estruc,24,el Barri Gòtic,Ciutat Vella,935454000,430821.85738522245,4582053.153237668
Hotel Colonial Barcelona - HB-004377,Via Laietana,3,el Barri Gòtic,Ciutat Vella,933192252,431493.8169596208,4581531.365466574
Hotel Barcelona House - HB-004499,C Escudellers,19,el Barri Gòtic,Ciutat Vella,933437167,431111.54674220236,4581208.596539184
Hotel Catalonia Avinyó - HB-004430,C Lleona,12,el Barri Gòtic,Ciutat Vella,932702170,431123.37858856004,4581397.133701398
Hotel Casa Maca Guest House - HB-004641,C Bruc,146,la Dreta de l'Eixample,Eixample,644200680,430261.0455980112,4583204.502889442
Euro Hotel Barcelona Diagonal Port - HB-004195,Carrer de Lope de Vega,4,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,932302000,433865.9965020309,4583539.919341892
Hotel Eurostars Ramblas - HB-004555,C la Rambla,22,el Barri Gòtic,Ciutat Vella,932703696,431115.8447306624,4581060.865982041
Hotel DO: Plaça Reial - HB-004530,Pl Reial,1,el Barri Gòtic,Ciutat Vella,934 813 666,431007.16674329614,4581275.90386094
Hotel Yurbban Trafalgar - HB-004627,C Trafalgar,30,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932680727,431113.147510023,4582266.543214918
Hotel Ibis Barcelona Centro (Sagrada Familia) - HB-004593,C Nàpols,230,la Sagrada Família,Eixample,932080536,430828.3290083512,4583580.507338361
Hotel HCC Lugano - HB-004598,Av Paral·lel,172,Sant Antoni,Eixample,935579797,429394.17353546945,4580755.3346092785
Hotel Prisma - HB-000114,Av Josep Tarradellas,119,les Corts,Les Corts,934394207,428349.6783610041,4582311.904197989
Hotel Husa L'Illa - HB-003973,Av Diagonal,555,les Corts,Les Corts,934942500,427715.1435128675,4582384.607353548
Hotel Barceló Sants - HB-003954,Pl Països Catalans,,Sants,Sants-Montjuïc,935035300,428157.2394584265,4581248.971530161
Ayre Hotel Caspe - HB-004182,C Casp,103,el Fort Pienc,Eixample,932467000,431407.59348731686,4583054.899583314
Hotel Urquinaona - HB-001950,Rda Sant Pere,24,la Dreta de l'Eixample,Eixample,932681336,430955.26003606274,4582308.547772856
Ako Suite Hotel - HB-004526,C Diputació,195,l'Antiga Esquerra de l'Eixample,Eixample,934533419,429852.8668261027,4581948.830056027
Hotel Colón - HB-000049,Av Catedral,7,el Barri Gòtic,Ciutat Vella,933011404,431083.1918937134,4581814.834616666
Hotel Front Maritim - HB-004149,Pg Garcia Fària,69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,933034440,434310.3941115931,4583911.5628037695
Hotel Ronda House - HB-003882,C Sant Erasme,19,el Raval,Ciutat Vella,933290004,430102.08651324594,4581420.467264045
Hotel Lyon - HB-000859,C General Castaños,6,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932689060,431836.0316145688,4581620.128669452
Hotel Tres Torres Atiram - HB-004075,C Calatrava,32,les Tres Torres,Sarrià-Sant Gervasi,934177300,427275.1255442446,4583519.905184003
Hotel Rekord - HB-003805,Muntaner,352,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932001953,428431.2173461758,4583357.08601877
Hotel The Level at Melia Barcelona Sky - HB-004532,C Lope de Vega,141,el Poblenou,Sant Martí,933672080,433218.51566931314,4584163.940128694
Hotel Andante - HB-004488,Av Drassanes,23,el Raval,Ciutat Vella,934412545,430813.573701589,4580906.327428815
Hotel Room Mate Pau - HB-004531,C Fontanella,5,la Dreta de l'Eixample,Eixample,900818320,430751.36506029684,4582102.477741923
Hotel The Corner - HB-004737,C Muntaner,110,l'Antiga Esquerra de l'Eixample,Eixample,935542400,429485.85432479717,4582277.951768142
Hotel Catalonia Eixample 1864 - HB-004249,C Roger de Llúria,60,la Dreta de l'Eixample,Eixample,932720050,430482.4535327337,4582787.360004382
Gran Hotel La Florida - HB-004263,Ctra Vallvidrera al Tibidabo,83,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,932593000,426557.9038869122,4586388.6800604565
Hotel SB Glow - HB-004760,C Badajoz,148,el Parc i la Llacuna del Poblenou,Sant Martí,935 147 000,432379.8459064096,4583716.325327449
Yurbban Passage Hotel & Spa - HB-004755,C Trafalgar,26,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,938828977,431100.1686391081,4582252.229351941
Hotel Catalonia Born - HB-004410,C Rec Comtal,16,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932688600,431439.4403211859,4582351.359453653
Hotel Ciutat Vella - HB-004398,C Tallers,66,el Raval,Ciutat Vella,934813799,430315.91034815356,4581836.663246371
Hotel NH Diagonal Center - HB-004466,C Àlaba,94,el Parc i la Llacuna del Poblenou,Sant Martí,933090629,432469.4671290746,4583250.870885352
Hotel NH Barcelona Barri Gòtic - HB-000329,C Ample,31,el Barri Gòtic,Ciutat Vella,933105100,431428.5356378257,4581317.800537743
Hotel Flor Parks - HB-004026,C Rambla,70,el Barri Gòtic,Ciutat Vella,933429760,430928.567491827,4581352.282099411
Hotel Alma Barcelona - HB-004465,C Mallorca,269,la Dreta de l'Eixample,Eixample,932164490,430051.32270056003,4582893.505879939
Hotel Indigo Barcelona - Plaza Catalunya - HB-004554,G.V. Corts Catalanes,629,la Dreta de l'Eixample,Eixample,936026690,430632.4771287919,4582525.191592988
Hotel Mímic - HB-004463,C Arc del Teatre,58,el Raval,Ciutat Vella,933299450,430841.21045951557,4580776.621700627
Hotel The Serras - HB-004647,Pg Colom,9,el Barri Gòtic,Ciutat Vella,931691868,431504.8509020626,4581287.179852085
Aparthotel BCN Montjuic - HB-004268,C Sant Fructuós,64,la Font de la Guatlla,Sants-Montjuïc,935035650,428425.36507430434,4580201.737810157
Hotel Casa Maca Guest House 4 - HB-004640,C Bruc,146,la Dreta de l'Eixample,Eixample,644 200 680,430261.0455980112,4583204.502889442
Hotel Condes de Barcelona - HB-003952,Pg Gràcia,73,la Dreta de l'Eixample,Eixample,934450000,430000.7222141606,4582788.406894788
Hotel Praktik Bakery - HB-004606,C Provença,279,la Dreta de l'Eixample,Eixample,934880061,430052.9876448775,4583083.551026336
Hotel Catalonia Square - HB-004596,Rda Sant Pere,9,la Dreta de l'Eixample,Eixample,933023386,430715.82537988096,4582228.144508412
Hotel Ibis Barcelona Plaça Glories 22 - HB-004372,C Ciutat de Granada,99,el Parc i la Llacuna del Poblenou,Sant Martí,933007777,432655.9812475031,4583596.665549633
Hotel Cotton House - HB-004691,G.V. Corts Catalanes,670,la Dreta de l'Eixample,Eixample,934505045,430763.9148397729,4582581.341072098
Aparthotel Aramunt - HB-004446,C Muntaner,60,l'Antiga Esquerra de l'Eixample,Eixample,934510402,429707.1772208559,4582051.610022816
Hotel Vincci Gala - HB-004592,Rda Sant Pere,32,la Dreta de l'Eixample,Eixample,935083200,431006.499532937,4582333.354541269
Hotel H10 Urquinaona Plaza - HB-004591,Pl Urquinaona,2,la Dreta de l'Eixample,Eixample,932382040,430824.0483138525,4582296.7038616035
Hotel Brustar Centric - HB-004505,Rda Sant Pere,60,la Dreta de l'Eixample,Eixample,932457844,431283.36481444247,4582467.670287118
Hotel 4 Barcelona - HB-004552,C Doctor Trueta,164,el Poblenou,Sant Martí,933290954,433167.14638893434,4583053.07495343
Hotel Catalonia Catedral - HB-004515,C Arcs,10,el Barri Gòtic,Ciutat Vella,933436775,430977.01192972425,4581796.292775955
Hotel  Catalonia  Park Putxet - HB-003757,C Putxet,68,el Putxet i el Farró,Sarrià-Sant Gervasi,932125158,428470.0937609012,4584333.537503974
Hotel & Spa Villa Olimpic@ Suites - HB-004383,C Pallars,121,el Parc i la Llacuna del Poblenou,Sant Martí,933569727,432480.5560373125,4583171.175664971
Hotel W Barcelona - HB-004411,Pl Rosa dels Vents,1,la Barceloneta,Ciutat Vella,932952800,432258.0028452148,4579966.448897408
Hotel Vincci Bit - HB-004482,C Josep Pla,69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,931657420,434140.0496029884,4584747.340620619
Hotel Acta Splendid - HB-004050,C Muntaner,2,Sant Antoni,Eixample,934512142,430020.7552395932,4581730.030226028
Hotel Mercer Barcelona - HB-004504,C Lledó,7,el Barri Gòtic,Ciutat Vella,933107480,431347.6503745078,4581561.589141954
Hotel Gótico - HB-001219,C Jaume I,14,el Barri Gòtic,Ciutat Vella,933152211,431290.19491392025,4581655.470214049
Hotel-Apartament Casa Saltor - HB-004648,G.V. Corts Catalanes,558,Sant Antoni,Eixample,933185150,429827.1721351852,4581664.473825679
Kiwidestiny Apartaments & Suites - HB-004673,Av Diagonal,578,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,934143873,428791.3109567845,4582839.622142613
Hotel Ayre Hotel Rosello - HB-004513,C Rosselló,390,la Sagrada Família,Eixample,936009200,430858.7766205503,4584028.191978369
Hotel Bestprice Diagonal - HB-004636,Av Diagonal,70,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,935991271,433942.9485599181,4584530.545696046
Hotel La Ciudadela - HB-004248,Pg Lluís Companys,2,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933099557,431746.24734463403,4582324.105781647
Hotel Granados 83 - HB-004239,C Enric Granados,83,l'Antiga Esquerra de l'Eixample,Eixample,934929670,429510.7490144507,4582604.334588839
Hotel Olivia Balmes - HB-004607,C Balmes,117,l'Antiga Esquerra de l'Eixample,Eixample,932144163,429666.21649682603,4582636.166310651
Hotel Room Mate Carla - HB-004376,C Mallorca,288,la Dreta de l'Eixample,Eixample,900818320,430289.01334877044,4583095.762955948
Hotel Travessera - HB-002043,Trav Dalt,121,la Salut,Gràcia,932132454,429711.2095926226,4584871.882515065
Hotel NH Barcelona Ramblas - HB-004369,C Hospital,26,el Raval,Ciutat Vella,931516100,430776.3889653066,4581381.933778881
Hotel Catalonia Barcelona Golf - HB-004084,Trav Gràcia,72,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932386828,429062.44624702726,4583194.557737142
BCN Urban Hotels del Comte - HB-004038,C Diputació,142,la Nova Esquerra de l'Eixample,Eixample,933231258,429514.94018673804,4581587.474512192
Axel Hotel Barcelona - HB-004327,C Aribau,33,l'Antiga Esquerra de l'Eixample,Eixample,933239393,429802.6572797864,4582113.689436881
Hotel Aneto - HB-002253,C Carme,38,el Raval,Ciutat Vella,933019989,430582.6158237505,4581505.657531609
Hotel Catalonia Passeig de Gràcia - HB-004535,G.V. Corts Catalanes,644,la Dreta de l'Eixample,Eixample,932702735,430582.75563702645,4582404.092764332
Hotel Catalonia Mikado - HB-003754,Pg Bonanova,58,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,932114166,427038.9467587435,4583889.979523772
Hotel Picasso K + K - HB-004579,Pg Picasso,26,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,935478600,431783.36404943164,4582000.716944711
Musik Boutique Hotel - HB-004538,C Sant Pere Més Baix,62,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932225544,431310.42461408087,4582160.816286702
Hotel H Top BCN City - HB-003989,Trav Gràcia,380,el Baix Guinardó,Horta-Guinardó,934360146,430899.01408905,4584713.076308151
Hotel ICON BCN by Petite Palace - HB-004309,C Roger de Llúria,21,la Dreta de l'Eixample,Eixample,933024717,430733.56515178306,4582498.556873579
Leonardo Hotel Barcelona Gran Via - HB-004212,C Diputació,100,la Nova Esquerra de l'Eixample,Eixample,935534760,429335.6799663947,4581411.767189629
Hotel Barcelona Center - HB-004296,C Balmes,103,l'Antiga Esquerra de l'Eixample,Eixample,932730000,429713.8300442661,4582587.398796348
Hotel 54 Barceloneta - HB-004371,Pg Joan Borbo C Barcelona,54,la Barceloneta,Ciutat Vella,932250054,432168.07552445517,4580935.757416039
Hotel Ibis Styles Barcelona Centre - HB-004728,C Provença,340,la Dreta de l'Eixample,Eixample,934573587,430257.96661771025,4583253.816407773
Hotel Brumell - HB-004690,C Nou de la Rambla,174,el Poble-sec,Sants-Montjuïc,931258622,430294.5428631298,4580353.796716197
Hotel Laumon - HB-004459,C Monlau,8,la Sagrera,Sant Andreu,932435279,432364.55558451125,4586057.763496073
Hotel Inglés - HB-000034,C Boqueria,19,el Barri Gòtic,Ciutat Vella,933173770,430932.54843563755,4581437.446269015
Hotel Catalonia Castellnou - HB-003785,C Castellnou,61,les Tres Torres,Sarrià-Sant Gervasi,932030550,427157.3957705017,4583139.27987135
Hotel Vincci Mae - HB-000069,Av Diagonal,596,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,937076177,428608.79374306486,4582780.465681245
Hotel Ronda Lesseps - HB-004338,C Ballester,77,Vallcarca i els Penitents,Gràcia,932544300,428778.7307310981,4584483.794103953
Hotel chic&basic Lemon - HB-004087,C Pelai,6,el Raval,Ciutat Vella,933426666,430197.4634815499,4581923.661372955
Hotel Boutique Serennia Exclusive Rooms - HB-004704,Rda Universitat,9,la Dreta de l'Eixample,Eixample,932157255,430226.35318689514,4581990.300728626
Hotel Well & Come - HB-004731,C Girona,158,la Dreta de l'Eixample,Eixample,937379799,430251.51864891057,4583405.581926077
Hotel Sunotel Aston - HB-004298,C París,101,la Nova Esquerra de l'Eixample,Eixample,933637070,428720.9867464702,4582337.977022073
Aparthotel Mariano Cubí - HB-004326,C Marià Cubí,62,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932099699,428897.667823549,4583311.216564588
Hotel Barcelona Catedral - HB-004271,C Capellans,4,el Barri Gòtic,Ciutat Vella,933042255,431025.85745311226,4581804.914701781
Hotel Barceló Raval - HB-004337,Rbla Raval,17,el Raval,Ciutat Vella,933201490,430553.62417563854,4581166.431836589
Hotel Sagrada Família - HB-004201,C Còrsega,541,la Sagrada Família,Eixample,934366115,430757.52557917486,4584149.711772588
Abba Rambla Hotel - HB-004380,Rbla Raval,4,el Raval,Ciutat Vella,935055400,430422.16244332347,4581217.412311952
Hotel Catalonia Rigoletto - HB-004346,C Sabino Arana,22,la Maternitat i Sant Ramon,Les Corts,933391999,426866.20386238385,4581932.374583725
Hotel The Mirror Barcelona - HB-004490,C Còrsega,255,l'Antiga Esquerra de l'Eixample,Eixample,932028686,429319.6208439694,4582737.795246867
Hotel Grums Barcelona - HB-004581,C Palaudàries,26,el Poble-sec,Sants-Montjuïc,934420666,430763.9272729329,4580475.947620107
Hotel Catalonia Port - HB-004432,C Ample,1,el Barri Gòtic,Ciutat Vella,933424244,431328.74464631925,4581130.43334631
Hotel SB Diagonal Zero - HB-004387,Pl Llevant,1,el Besòs i el Maresme,Sant Martí,935078000,434756.21061464044,4584766.664551605
Hotel Acta Voraport - HB-004893,C Ramon Turró,196,el Poblenou,Sant Martí,935955560,433306.13797385554,4583378.0218111
Hotel Yurbban Ramblas Boutique - HB-004883,C Rambla,129,el Raval,Ciutat Vella,93 317 48 98,430608.46850412874,4581836.692306261
Hotel Exe Plaza Catalunya- HB-004828,Rda Universitat,18,la Dreta de l'Eixample,Eixample,932408419,430393.0425571435,4582035.770319282
Hotel  Almanac - HB-004806,G.V. Corts Catalanes,619,la Dreta de l'Eixample,Eixample,930187000,430552.3149241252,4582446.586343472
Hotel The Barcelona Edition - HB-004837,Av Francesc Cambó,14,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,936263330,431252.21122577286,4581936.461464158
Hotel Occidental Diagonal 414 - HB-004911,Avinguda Diagonal,414,la Dreta de l'Eixample,Eixample,93 208 90 00,430185.092,4583287.871
Hotel Praktik Èssens - HB-004857,Pg Gràcia,24,la Dreta de l'Eixample,Eixample,933428730,430434.1290806222,4582408.849687372
Hotel REC Barcelona - HB-004769,C Rec,19,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,935569960,431628.77156298066,4581947.616431661
Aparthotel Mayerling Abamita - HB-004726,C Ausiàs Marc,25,la Dreta de l'Eixample,Eixample,637834836,431034.7792232621,4582503.159890241
Hotel Jaume I - HB-000371,C Jaume I,11,el Barri Gòtic,Ciutat Vella,932693074,431260.9532011838,4581640.874350552
Hotel Soho House -  HB-004750,Pl Duc de Medinaceli,4,el Barri Gòtic,Ciutat Vella,932204600,431378.2761714352,4581097.449678319
Hotel Ibis Styles Barcelona City Bogatell - HB-004742,C Llull,71,el Parc i la Llacuna del Poblenou,Sant Martí,934833748,432571.1652131942,4582889.896427002
Hotel Boutique Mirlo Barcelona  - HB-004948,Avinguda del Tibidabo,32,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,93 142 59 29,427690.82447885,4585031.525217961
Hotel Exe Laietana Palace - HB-004101,Via Laietana,17,el Barri Gòtic,Ciutat Vella,932687940,431382.1700217455,4581645.725327837
Hotel Occidental Barcelona 1929 - HB-004905,Carrer de la Creu Coberta,20,Hostafrancs,Sants-Montjuïc,936268844,428726.3880258787,4580771.282313451
Alimara Barcelona Hotel - HB-004010,C Berruguete,126,la Vall d'Hebron,Horta-Guinardó,934270000,428762.86229698564,4587263.901003956
Midmost Hotel - HB-004058,C Pelai,14,el Raval,Ciutat Vella,934922244,430265.49882199056,4581914.937472126
Hotel Antiga Casa Buenavista,Ronda de Sant Antoni,84,el Raval,Ciutat Vella,93 3303030,430098.095,4581697.297
Hotel Via Augusta - HB-000098,Via Augusta,63,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932179250,429066.3031409374,4583520.075562794
Hotel Médicis - HB-003917,C Castillejos,340,el Baix Guinardó,Horta-Guinardó,934500053,430891.0481745127,4584673.660690833
Hotel Caledonian - HB-004002,G.V. Corts Catalanes,574,Sant Antoni,Eixample,934530200,429921.67019715597,4581757.361938776
Hotel Raval House - HB-001213,C Hospital,101,el Raval,Ciutat Vella,933437167,430515.50852333196,4581277.365745975
Hotel Onix Rambla - HB-004162,Rbla Catalunya,24,la Dreta de l'Eixample,Eixample,933427980,430301.48039258306,4582299.35272844
Hotel Nuevo Triunfo - HB-004090,C Cabanes,34,el Poble-sec,Sants-Montjuïc,934425933,430589.2989623037,4580519.24916155
Hotel Ilunion Auditori - HB-004283,C Sicília,166,el Fort Pienc,Eixample,932437600,431550.46810336213,4583033.031825587
Hotel del Mar - HB-002726,Pla Palau,19,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933193302,431774.2852399872,4581496.228866218
Hotel Boutique 2015 - HB-004767,Rda Universitat,9,la Dreta de l'Eixample,Eixample,932157255,430226.35318689514,4581990.300728626
Hotel Hilton Diagonal Mar - HB-004202,Passeig del Taulat,262,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,935070707,434671.37651453994,4584375.422350126
Hotel Margot House - HB-004653,Pg Gràcia,46,la Dreta de l'Eixample,Eixample,932720076,430263.05670477607,4582595.022835685
Hotel TOC Hostel Barcelona - HB-004629,G.V. Corts Catalanes,580,Sant Antoni,Eixample,934534425,429976.2416554023,4581811.37442298
Hotel Paxton Barcelona - HB-004941,Carrer de Llull,156,el Poblenou,Sant Martí,934 45 49 90,433144.743,4583404.429
Hotel Travelodge Barcelona Poblenou - HB-004514,C Llull,170,el Poblenou,Sant Martí,936241802,433215.18583832844,4583475.205845213
